NAME	DESCRIPTION	1_1ReadsPerGene.out.tab	1_2ReadsPerGene.out.tab	1_3ReadsPerGene.out.tab	5_1ReadsPerGene.out.tab	5_2ReadsPerGene.out.tab	5_3ReadsPerGene.out.tab
CNAG_01191	na	270.861335651144	316.617300026086	275.487010276818	428.988768818092	392.75155892066	377.203540637986
CNAG_01190	na	1360.62677608758	1421.91685041836	1423.87730599015	1565.36317490205	1585.03307707266	1870.97584420743
CNAG_01189	na	1844.56569578429	1488.67351006241	1658.19959059342	1360.28078426614	1372.76021070364	1194.0921899951
CNAG_01188	na	1183.6640367955	1194.94420762857	1262.38492065546	1074.94876251185	1064.16970012312	1129.2964897628
CNAG_01187	na	1979.09349249103	2021.7731206485	2063.51381260988	1630.75176322074	1412.03536659571	1881.38943888762
CNAG_01186	na	1099.69702274365	1073.82855370293	1084.00444273675	1277.05894458781	1298.88551271618	1276.24388136104
CNAG_01185	na	7571.47720256833	7462.44088163893	7316.76611202645	6026.64822337287	6130.66481019963	5558.5454270702
CNAG_01184	na	1442.78804790176	1431.45351608179	1367.93549930558	1516.81710175635	1527.99058875323	1717.08605615574
CNAG_01183	na	1522.24070635943	1571.64250133431	1579.03665660582	1583.19642626169	1614.95700537138	1518.07069115656
CNAG_07436	na	32.5033602781373	35.2856629547144	31.6651735950366	14.861042799703	39.275155892066	21.9842554359562
CNAG_01182	na	11288.5975988209	11385.8251355766	11263.3022477545	9465.49352722414	8942.57894751969	9590.9207004548
CNAG_01181	na	43714.3109607382	47342.869352997	47353.1560998042	36292.6479892479	34463.0141725286	47595.9130188453
CNAG_01180	na	765.634708773902	765.794252773937	717.743934820829	1100.70790336467	1066.97506840113	1004.33335360053
CNAG_01179	na	1682.04889439361	1654.6114926062	1703.58633941297	1187.89268778959	1121.21218844255	1258.88789022739
CNAG_01178	na	1235.12769056922	1193.03687449588	1188.49951560037	951.10673918099	969.722301430296	777.548402787505
CNAG_01177	na	1425.63349664386	1380.90918806558	1415.43325969814	1454.4007219976	1350.3172644796	1380.37982816294
CNAG_07437	na	847.795980588082	827.782579586273	800.073386167925	574.626988255181	461.015520352108	496.38134642238
CNAG_07438	na	477.618821864851	498.76761419772	490.810190723067	523.108706549544	533.95509558023	603.988491451008
CNAG_01175	na	1037.39891554388	1111.02154979033	1294.0500942505	1042.2544683525	968.787178670961	1175.57913278587
CNAG_01174	na	3067.95606180863	2996.42035145169	3011.35800888798	5946.39859225448	5913.71633003394	5013.5673054736
CNAG_01173	na	1969.16191018382	1839.62280647687	1838.69108008512	1892.30611649551	1991.81147738335	1779.56762423688
CNAG_01172	na	1315.48322014572	1331.31852661571	1280.32851902598	873.829316622534	797.659713712673	740.522288369052
CNAG_01171	na	195.923032787661	195.501646100445	217.434192019251	113.934661464389	161.776237364938	153.889788051694
CNAG_01170	na	51477.1968405	53403.4203821108	55932.3071324861	42543.202590803	41382.9225916069	59487.0810775464
CNAG_01169	na	1196.30423245922	1273.14486606875	1221.22019498191	1187.89268778959	1249.32400647143	1118.88289508261
CNAG_01168	na	9086.49493997706	9059.83238026451	9655.76693491316	7284.88318041439	6596.35594434842	6698.25551151319
CNAG_01167	na	2187.65672094241	2244.93109717291	2150.06528710298	1700.10329628602	1787.019593089	1233.4324365647
CNAG_01166	na	985.032390651329	1031.86722478381	1170.55591722985	821.32029873025	859.377815828777	890.940878194016
CNAG_01165	na	780.983517794133	855.438910010239	806.406420886932	491.405148576845	485.328712094815	381.831804940293
CNAG_01164	na	8743.40391481894	8386.54378442591	8553.81889380588	9638.87235988734	10109.6121511697	9278.51286004911
CNAG_01163	na	956.14051484854	905.029571460108	934.122621053579	1064.05066445873	1103.44485601519	1059.87252522821
CNAG_12459	na	30.697618040463	10.49033222978	15.8325867975183	9.90736186646864	7.48098207467923	10.4135946801898
CNAG_01162	na	981.42090617598	926.010235919667	994.286450884149	723.237416252211	685.444982592485	759.035345578279
CNAG_01161	na	1289.29995769945	1285.54253143122	1304.60515211551	1203.74446677594	1141.78488914792	1266.98735275643
CNAG_07439	na	3327.08007291489	3026.93768157469	3258.34636292927	2725.51524946552	2677.25645997583	2501.5768553967
